Name|Location|Interest|Goals|Biography
Ganesh|Toronto|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
Jaron|New york|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
Mike|Sacramento|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
John|Ottawa|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
Smith|Brussels|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
Varun|Frankfurt|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
Kevin|Mississauga|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
Virat|Montreal|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
AJesh|Toronto|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
Mohan|Quebec|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
karthik|Toronto|Cricket,Tennis,technology|Create useful software for poor people's upliftment|Software engineer
Ram|New york|Soccer,Hiking,Netwroking|Build, ship, share |Product manager
Emily|New York|Pickleball,AI,poetry|Making new friends,learn how to play pickleball|Product Manager
David|Toronto|Tennis,technology,volleyball|Learning a new sport,making new friends|Software Engineer
Sophia|San Francisco|AI,poetry,pickleball|Learn how to play pickleball,making new friends|ML Engineer
Michael|Chicago|Technology,tennis,AI|Making new friends,learning a new sport|Business Analyst
Olivia|New York|Volleyball,pickleball,technology|Learn how to play pickleball,making new friends|Finance
Ethan|Toronto|Poetry,AI,tennis|Learning a new sport,making new friends|Artist
Isabella|San Francisco|Pickleball,technology,volleyball|Making new friends,learn how to play pickleball|Product Manager
Alexander|Chicago|AI,tennis,poetry|Learn how to play pickleball,learning a new sport|Software Engineer
Ava|New York|Technology,pickleball,AI|Making new friends,learning a new sport|ML Engineer
William|Toronto|Volleyball,poetry,tennis|Learn how to play pickleball,making new friends|Business Analyst
Mia|San Francisco|Tennis,AI,pickleball|Learning a new sport,making new friends|Finance
James|Chicago|Poetry,technology,volleyball|Making new friends,learn how to play pickleball|Artist
Charlotte|New York|AI,pickleball,tennis|Learn how to play pickleball,learning a new sport|Product Manager
Benjamin|Toronto|Technology,volleyball,poetry|Making new friends,learning a new sport|Software Engineer
Amelia|San Francisco|Pickleball,AI,technology|Learn how to play pickleball,making new friends|ML Engineer
Daniel|Chicago|Tennis,poetry,pickleball|Learning a new sport,making new friends|Business Analyst
Harper|New York|Volleyball,technology,AI|Making new friends,learn how to play pickleball|Finance
Joseph|Toronto|Poetry,pickleball,tennis|Learn how to play pickleball,learning a new sport|Artist
Evelyn|San Francisco|AI,volleyball,technology|Making new friends,learning a new sport|Product Manager
Samuel|Chicago|Pickleball,tennis,poetry|Learn how to play pickleball,making new friends|Software Engineer
Abigail|New York|Technology,AI,volleyball|Learning a new sport,making new friends|ML Engineer
Christopher|Toronto|Tennis,pickleball,poetry|Making new friends,learn how to play pickleball|Business Analyst
Elizabeth|San Francisco|Poetry,technology,tennis|Learn how to play pickleball,learning a new sport|Finance
Andrew|Chicago|AI,volleyball,pickleball|Making new friends,learning a new sport|Artist
Sofia|New York|Pickleball,poetry,technology|Learn how to play pickleball,making new friends|Product Manager
Matthew|Toronto|Volleyball,AI,tennis|Learning a new sport,making new friends|Software Engineer
Avery|San Francisco|Technology,pickleball,poetry|Making new friends,learn how to play pickleball|ML Engineer
Joshua|Chicago|Tennis,AI,volleyball|Learn how to play pickleball,learning a new sport|Business Analyst
Scarlett|New York|Poetry,technology,pickleball|Making new friends,learning a new sport|Finance
Ryan|Toronto|AI,tennis,volleyball|Learn how to play pickleball,making new friends|Artist
Grace|San Francisco|Pickleball,poetry,AI|Learning a new sport,making new friends|Product Manager
Nicholas|Chicago|Technology,volleyball,tennis|Making new friends,learn how to play pickleball|Software Engineer
Chloe|New York|Tennis,AI,pickleball|Learn how to play pickleball,learning a new sport|ML Engineer
Tyler|Toronto|Volleyball,poetry,technology|Making new friends,learning a new sport|Business Analyst
Zoe|San Francisco|AI,pickleball,tennis|Learn how to play pickleball,making new friends|Finance
Nathan|Chicago|Poetry,volleyball,technology|Learning a new sport,making new friends|Artist
Hannah|New York|Pickleball,AI,poetry|Making new friends,learn how to play pickleball|Product Manager
Caleb|Toronto|Technology,tennis,volleyball|Learn how to play pickleball,learning a new sport|Software Engineer
Lily|San Francisco|Tennis,pickleball,AI|Making new friends,learning a new sport|ML Engineer
Isaac|Chicago|Volleyball,technology,poetry|Learn how to play pickleball,making new friends|Business Analyst
Addison|New York|Poetry,AI,tennis|Learning a new sport,making new friends|Finance
Owen|Toronto|Pickleball,volleyball,technology|Making new friends,learn how to play pickleball|Artist
Aubrey|San Francisco|AI,tennis,poetry|Learn how to play pickleball,learning a new sport|Product Manager
Luke|Chicago|Technology,pickleball,volleyball|Making new friends,learning a new sport|Software Engineer
Ella|New York|Tennis,poetry,AI|Learn how to play pickleball,making new friends|ML Engineer
Gabriel|Toronto|Volleyball,pickleball,technology|Learning a new sport,making new friends|Business Analyst
Savannah|San Francisco|Poetry,tennis,AI|Making new friends,learn how to play pickleball|Finance
Anthony|Chicago|Pickleball,technology,volleyball|Learn how to play pickleball,learning a new sport|Artist
Audrey|New York|AI,poetry,tennis|Making new friends,learning a new sport|Product Manager
